Municipios;ID_Provincia_tabla;Mail_Institucional
SALTA-HIPERMERCADO LIBERTAD;17;
SALTA-Capital;17;salta.salta@sinalic.gob.ar
SALVADOR MAZZA;17;salvadormazza.salta@sinalic.gob.ar
SAN ANTONIO DE LOS COBRES;17;sanantoniodeloscobres.salta@sinalic.gob.ar
SAN JOSE DE LOS CERRILLOS;17;sanjosedeloscerrillos.salta@sinalic.gob.ar
SAN JOSE DE METAN;17;sanjosedemetan.salta@sinalic.gob.ar
SAN RAMON DE LA NUEVA ORAN;17;sanramondelanuevaoran.salta@sinalic.gob.ar
SECLANTAS;17;seclantas.salta@sinalic.gob.ar
TARTAGAL;17;tartagal.salta@sinalic.gob.ar
VAQUEROS;17;vaqueros.salta@sinalic.gob.ar
SAN JUAN-EMICAR;18;emicar.sanjuan@sinalic.gob.ar
SAN LUIS;19;sanluis.sanluis@sinalic.gob.ar
SAN LUIS;19;sanluis.sanluis@sinalic.gob.ar
SAN LUIS;19;sanluis.sanluis@sinalic.gob.ar
SAN LUIS;19;sanluis.sanluis@sinalic.gob.ar
28 DE NOVIEMBRE;20;28denoviembre.santacruz@sinalic.gob.ar
CALETA OLIVIA;20;caletaolivia.santacruz@sinalic.gob.ar
COMANDANTE LUIS PIEDRA BUENA;20;luispiedrabuena.santacruz@sinalic.gob.ar
LOS ANTIGUOS;20;losantiguos.santacruz@sinalic.gob.ar
PERITO MORENO;20;peritomoreno.santacruz@sinalic.gob.ar
PICO TRUNCADO;20;picotruncado.santacruz@sinalic.gob.ar
PUERTO SAN JULIAN;20;puertosanjulian.santacruz@sinalic.gob.ar
PUERTO SANTA CRUZ;20;puertosantacruz.santacruz@sinalic.gob.ar
RIO GALLEGOS;20;riogallegos.santacruz@sinalic.gob.ar
RIO TURBIO;20;rioturbio.santacruz@sinalic.gob.ar
ACEBAL;21;
ALCORTA;21;
ALVAREZ;21;
AREQUITO;21;
ARMSTRONG;21;
ARROYO SECO;21;
AVELLANEDA;21;
BERABEVU;21;
BIGAND;21;
BOMBAL;21;
BOUQUET;21;
CALCHAQUI;21;
CAÑADA DE GOMEZ;21;
CAPITAN BERMUDEZ;21;
CARCARAÑA;21;
CARLOS PELLEGRINI;21;
CARMEN;21;
CARRERAS;21;
CASILDA;21;
CERES;21;
CHABAS;21;
CHAÑAR LADEADO;21;
CHAPUY;21;
CORONDA;21;
CORONEL BOGADO;21;
CORREA;21;
EL TREBOL;21;
ELORTONDO;21;
EMPALME VILLA CONSTITUCION;21;
ESPERANZA;21;
FIRMAT;21;
FRANCK;21;
FRAY LUIS BELTRAN;21;
FRONTERA;21;
FUNES;21;
GALVEZ;21;
GOBERNADOR CRESPO;21;
GRANADERO BAIGORRIA;21;
HELVECIA;21;
HUGHES;21;
HUMBOLDT;21;
LAGUNA PAIVA;21;lagunapaiva.santafe@sinalic.gob.ar
LAS PAREJAS;21;
LAS ROSAS;21;
LAS TOSCAS;21;
LLAMBI CAMPBELL;21;
LOS QUIRQUINCHOS;21;
MACIEL;21;
MAGGIOLO;21;
MALABRIGO;21;
MARIA TERESA;21;
MAXIMO PAZ;21;
MELINCUE;21;
MONTE VERA;21;
MONTES DE OCA;21;
MURPHY;21;
PEREZ;21;
PILAR;21;
PUEBLO ESTHER;21;
PUERTO GENERAL SAN MARTIN;21;
RAFAELA;21;
RECONQUISTA;21;
ROLDAN;21;
ROMANG;21;
ROSARIO;21;
ROSARIO;21;
ROSARIO;21;
ROSARIO;21;
ROSARIO;21;
ROSARIO;21;
ROSARIO;21;
RUFINO;21;
SAN CARLOS CENTRO;21;
SAN CRISTOBAL;21;
SAN GREGORIO;21;
SAN GUILLERMO;21;sanguillermo.santafe@sinalic.gob.ar
SAN JAVIER;21;
SAN JERONIMO NORTE;21;
SAN JORGE;21;
SAN JOSE DE LA ESQUINA;21;
SAN JUSTO;21;
SAN LORENZO;21;
SAN VICENTE;21;
SANCTI SPIRITU;21;
SANTA FE;21;
SANTA ISABEL;21;
SANTA TERESA;21;
SANTO TOME;21;
SAUCE VIEJO;21;
SUARDI;21;
SUNCHALES;21;
TEODELINA;21;
TOSTADO;21;
TOTORAS;21;
VENADO TUERTO;21;
VERA;21;
VILLA CAÑAS;21;villacanas.santafe@sinalic.gob.ar
VILLA CONSTITUCION;21;villaconstitucion.santafe@sinalic.gob.ar
VILLA GOBERNADOR GALVEZ;21;
VILLA MINETTI;21;
VILLA OCAMPO;21;
VILLA TRINIDAD;21;
VILLADA;21;
WHEELWRIGHT;21;
AÑATUYA;22;anatuya.santiagodelestero@sinalic.gob.ar
FRIAS;22;frias.santiagodelestero@sinalic.gob.ar
LA BANDA;22;labanda.santiagodelestero@sinalic.gob.ar
MONTE QUEMADO;22;montequemado.santiagodelestero@sinalic.gob.ar
PINTO;22;pinto.santiagodelestero@sinalic.gob.ar
QUIMILÍ;22;quimili.santiagodelestero@sinalic.gob.ar
SANTIAGO DEL ESTERO;22;capital.santiagodelestero@sinalic.gob.ar
SANTIAGO DEL ESTERO;22;capital.santiagodelestero@sinalic.gob.ar
SELVA;22;selva.santiagodelestero@sinalic.gob.ar
TERMAS DE RIO HONDO;22;termasderiohondo.santiagodelestero@sinalic.gob.ar
VILLA OJO DE AGUA;22;villaojodeagua.santiagodelestero@sinalic.gob.ar
RIO GRANDE;23;riogrande.tierradelfuego@sinalic.gob.ar
TOLHUIN;23;tolhuin.tierradelfuego@sinalic.gob.ar
USHUAIA;23;ushuaia.tierradelfuego@sinalic.gob.ar
AGUILARES;24;aguilares.tucuman@sinalic.gob.ar
ALDERETES;24;alderetes.tucuman@sinalic.gob.ar
BANDA DE RIO SALI;24;bandadelriosali.tucuman@sinalic.gob.ar
CONCEPCION;24;concepcion.tucuman@sinalic.gob.ar
LAS TALITAS;24;lastalitas.tucuman@sinalic.gob.ar
LULES;24;lules.tucuman@sinalic.gob.ar
MONTEROS;24;monteros.tucuman@sinalic.gob.ar
SAN MIGUEL DE TUCUMAN;24;sanmigueldetucuman.tucuman@sinalic.gob.ar
TUCU-SEDE ROCA Y ALFARO;24;"rocayalfaro.tucuman@sinalic.gob.ar
rocayalfaro.tucuman@sinalic.gob.ar"
TAFI VIEJO;24;tafiviejo.tucuman@sinalic.gob.ar
YERBA BUENA;24;yerbabuena.tucuman@sinalic.gob.ar
CORONEL DORREGO;1;
RIACHUELO;7;riachuelo.corrientes@sinalic.gob.ar
CANDELARIA;14;candelaria.misiones@sinalic.gob.ar
Capilla Del Monte;6;capilladelmonte.cordoba@sinalic.gob.ar
Rosario Vera Peñaloza;12;rosarioberapenaloza.larioja@sinalic.gob.ar
La Criolla;8;lacriolla.entrerios@sinalic.gob.ar
Zapala;15;zapala.neuquen@sinalic.gob.ar
Huinca Renanco;6;huincarenanco.cordoba@sinalic.gob.ar
Laborde;6;laborde.cordoba@sinalic.gob.ar
Sarmiento;5;sarmiento.chubut@sinalic.gob.ar
El Jardin;17;eljardin.salta@sinalic.gob.ar
ANIMANA;17;animana.salta@sinalic.gob.ar
SAN FDO DEL VALLE DE CATAMARCA;3;sfvcatamarca.catamarca@sinalic.gob.ar
Tilcara;10;tilcara.jujuy@sinalic.gob.ar
CHAMICAL;12;chamical.larioja@sinalic.gob.ar
HUINGAN-CO;15;huinganco.neuquen@sinalic.gob.ar
Piquillin;6;piquillin.cordoba@sinalic.gob.ar
FAMAILLA;24;famailla.tucuman@sinalic.gob.ar
Vicuña Mackenna;6;vicunamackenna.cordoba@sinalic.gob.ar
Cura Brochero;6;curabrochero.cordoba@sinalic.gob.ar
Machagai;4;Machagai.chaco@sinalic.gob.ar
Federacion;8;federacion.entrerios@sinalic.gob.ar
El Rodeito;10;elrodeito.jujuy@sinalic.gob.ar
Nazareno;17;nazareno.salta@sinalic.gob.ar
Malvinas Argentinas;6;malvinasargentinas.cordoba@sinalic.gob.ar
Tecnicar.net;13;tecnicarnet.mendoza@sinalic.gob.ar
Sauce;7;sauce.corrientes@sinalic.gob.ar
Andacollo;15;andacollo.neuquen@sinalic.gob.ar
La Candelaria;17;lacandelaria.salta@sinalic.gob.ar
Villa El Chocon;15;villaelchocon.neuquen@sinalic.gob.ar
Guandacol;12;guandacol.larioja@sinalic.gob.ar
JUAN BAUTISTA ALBERDI;24;juanbautistaalberdi.tucuman@sinalic.gob.ar
Salsipuedes;6;salsipuedes.cordoba@sinalic.gob.ar
Jovita;6;jovita.cordoba@sinalic.gob.ar
Epuyen;5;epuyen.chubut@sinalic.gob.ar
LAGO PUELO;6;lagopuelo.cordoba@sinalic.gob.ar
Villa Regina;16;villaregina.rionegro@sinalic.gob.ar
Villa Urquiza;8;villaurquiza.entrerios@sinalic.gob.ar
Villa Rumipal;6;villarumipal.cordoba@sinalic.gob.ar
Montecristo;6;montecristo.cordoba@sinalic.gob.ar
Trancas;24;trancas.tucuman@sinalic.gob.ar
Federal;8;federal.entrerios@sinalic.gob.ar
Felipe Varela;12;felipevarela.larioja@sinalic.gob.ar
Rio Cuarto;6;riocuarto.cordoba@sinalic.gob.ar
San Antonio;10;sanantonio.jujuy@sinalic.gob.ar
APROCAM;13;aprocam.mendoza@sinalic.gob.ar
Isla de Canas;17;isladecanas.salta@sinalic.gob.ar
Saujil;3;saujil.catamarca@sinalic.gob.ar
Fiambala;3;fiambala.catamarca@sinalic.gob.ar
Villa del Rosario;6;villadelrosario.cordoba@sinalic.gob.ar
Larroque;8;larroque.entrerios@sinalic.gob.ar
Tres Isletas;4;tresisletas.chaco@sinalic.gob.ar
Coronel Rosales;2;licenciasdeconducir@gob.gba.gov.ar
Rivadavia Banda Norte;17;rivadaviabandanorte.salta@sinalic.gob.ar
General Viamonte;2;licenciasdeconducir@gob.gba.gov.ar
ESCOBAR;2;licenciasdeconducir@gob.gba.gov.ar
9 de Julio;2;licenciasdeconducir@gob.gba.gov.ar
General Paz;2;licenciasdeconducir@gob.gba.gov.ar
Vinchina;12;vinchina.larioja@sinalic.gob.ar
PURMAMARCA;10;purmamarca.jujuy@sinalic.gob.ar
General Rodriguez;14;generalrodriguez.misiones@sinalic.gob.ar
Quilmes;11;quimes.lapamapa@sinalic.gob.ar
TOAY;11;toay.lapampa@sinalic.gob.ar
Gilbert;8;gilbert.entrerios@sinalic.gob.ar
Piedra del Aguila;15;piedradelaguila.neuquen@sinalic.gob.ar
Picun Leufu;15;picunleufu.neuquen@sinalic.gob.ar
Las Ovejas;15;lasovejas.neuquen@sinalic.gob.ar
Los Miches;15;losmiches.neuquen@sinalic.gob.ar
COLONIA CAROYA;6;coloniacaroya.cordoba@sinalic.gob.ar
JESUS MARIA;6;jesusmaria.cordoba@sinalic.gob.ar
ARROYITO;6;arroyito.cordoba@sinalic.gob.ar
RIO CEBALLOS;6;rioceballos.cordoba@sinalic.gob.ar
Colonia Ayui;8;coloniaayui.entrerios@sinalic.gob.ar
ABRA PAMPA;10;abrapampa.jujuy@sinalic.gob.ar
Los Menucos;16;losmenucos.rionegro@sinalic.gob.ar
Rio Segundo;6;riosegundo.cordoba@sinalic.gob.ar
EL CARRIL;17;elcarril.salta@sinalic.gob.ar
SANTA MARIA DE PUNILLA;6;santamariadepunilla.cordoba@sinalic.gob.ar
Loncopue;15;loncopue.neuquen@sinalic.gob.ar
La Puerta;6;lapuerta.cordoba@sinalic.gob.ar
CAPILLA DE LOS REMEDIOS;6;capilladelosremedios.cordoba@sinalic.gob.ar
VILLA DE SOTO;6;villadesoto.cordoba@sinalic.gob.ar
ALUMINE;15;alumine.neuquen@sinalic.gob.ar
En Proceso (Salta);17;
Embarcacion;17;embarcacion.salta@sinalic.gob.ar
ROSARIO DEL TALA;8;rosariodeltala@sinalic.gob.ar
San Cosme;7;sancosme.corrientes@sinalic.gob.ar
En Proceso (Chubut);5;
Los Toldos;17;lostoldos.salta@sinalic.gob.ar
El Potrero;17;elpotrero.salta@sinalic.gob.ar
Isla de Cañas;17;isladecanas.salta@sinalic.gob.ar
La Poma;17;lapoma.salta@sinalic.gob.ar
Lago Puelo;5;lagopuelo.chubut@sinalic.gob.ar
Puerto Deseado;20;puertodeseado.santacruz@sinalic.gob.ar
El Chalten;20;elchalten.santacruz@sinalic.gob.ar
Rincon de los Sauces;15;rincondelossauces.neuquen@sinalic.gob.ar
BELLA VISTA;24;bellavista.tucuman@sinalic.gob.ar
Buta Ranquil;15;butaranquil.neuquen@sinalic.gob.ar
COLONIA SANTA ROSA;17;coloniasantarosa.salta@sinalic.gob.ar
Villa Elisa;8;villaelisa.entrerios@sinalic.gob.ar
Hernando;6;hernando.cordoba@sinalic.gob.ar
Escuela Neri;13;escuelaneri.mendoza@sinalic.gob.ar
Pueblo Viejo;10;puestoviejo.jujuy@sinalic.gob.ar
Santa Victoria Oeste;17;santavictoriaoeste.salta@sinalic.gob.ar
Añelo;15;anelo.neuquen@sinalic.gob.ar
Tilisarao;19;tilisarao.sanluis@sinalic.gob.ar
Ibicuy;8;ibicuy.entrerios@sinalic.gob.ar
GOBERNADOR MANSILLA;8;gobernadormansilla.entrerios@sinalic.gob.ar
GENERAL PIZARRO;17;generalpizarro.salta@sinalic.gob.ar
Seguridad Vial Patagonia (Escuela);20;gberton@seguridadvial.gob.ar
Belen;3;belen.catamarca@sinalic.gob.ar
URUNDEL;17;urundel.salta@sinalic.gob.ar
Villa Dominguez;8;villadominguez.entrerios@sinalic.gob.ar
RIO DE LAS PIEDRAS;17;riodelaspiedras.salta@sinalic.gob.ar
EL TALA;17;eltala.salta@sinalic.gob.ar
ANGASTACO;17;ANGASTACO.salta@sinalic.gob.ar
SAN CARLOS;17;sancarlos.salta@sinalic.gob.ar
SUMAMPA;22;sumampa.santiagodelestero@sinalic.gob.ar)
campogallo;22;campogallo.santiagodelestero@sinalic.gob.ar
bandera;22;bandera.santiagodelestero@sinalic.gob.ar
VALCHETA;16;Valcheta.rionegro@sinalic.gob.ar
MAQUINCHAO;16;Maquinchao.rionegro@sinalic.gob.ar
CAMARONES;5;Camarones.chubut@sinalic.gob.ar
SARMIENTO;5;Sarmiento.chubut@sinalic.gob.ar
EPUYEN;5;Epuyen.chubut@sinalic.gob.ar
COLON;8;Colon.entrerios@sinalic.gob.ar
FEDERACION;8;Federacion.entrerios@sinalic.gob.ar
Catrilo;11;catrilo.lapampa@sinalic.gob.ar
Las Lajas;15;laslajas.neuquen@sinalic.gob.ar
El Pingo;8;elpingo.entrerios@sinalic.gob.ar
Tabossi;8;tabossi.entrerios@sinalic.gob.ar
Maria Grande;8;mariagrande.entrerios@sinalic.gob.ar
Hasenkamp;8;hasenkamp.entrerios@sinalic.gob.ar
DOLAVON;5;dolavon.chubut@sinalic.gob.ar
Río Mayo;5;riomayo.chubut@sinalic.gob.ar
Susques;10;susques.jujuy@sinalic.gob.ar
Aguas Calientes;10;aguascalientes.jujuy@sinalic.gob.ar
San Martin;5;sanmartin.chubut@sinalic.gob.ar
Rio Pico;5;riopico.chubut@sinalic.gob.ar
LAVALLE;7;lavalle.corrientes@sinalic.gob.ar
Guardia Mitre;16;
La Adela;11;laadela.lapampa@sinalic.gob.ar
25 de Mayo;11;25demayo.lapampa@sinalic.gob.ar
LANUS;2;licenciasdeconducir@gob.gba.gov.ar
Valle Viejo;3;valleviejo.catamarca@sinalic.gob.ar
Tinogasta;3;tinogasta.catamarca@sinalic.gob.ar
Fray Mamerto Esquiu;3;fraymamertoesquiu.catamarca@sinalic.gob.ar
Andalgala;3;andalgala.catamarca@sinalic.gob.ar
Departamento Gral Belgrano;12;dptogralbelgrano.larioja@sinalic.gob.ar
Alpachiri;11;alpachiri.lapampa@sinalic.gob.ar
Anguil;11;anguil.lapampa@sinalic.gob.ar
Villa Paranacito;8;villaparanacito.entrerios@sinalic.gob.ar
Caviahue - Copahue;15;caviahue.neuquen@sinalic.gob.ar
Clorinda;9;clorinda.formosa@sinalic.gob.ar
SAN JOSE FELICIANO;8;sanjosefeliciano.entrerios@sinalic.gob.ar
HASENKAMP;8;hasenkamp.entrerios@sinalic.gob.ar
Pampa de los Guanacos;22;pampadelosguanacos.santiagodelestero@sinalic.gob.ar
Los Juries;22;losjuries.santiagodelestero@sinalic.gob.ar
LA COCHA;24;lacocha.tucuman@sinalic.gob.ar
SIMOCA;24;simoca.tucuman@sinalic.gob.ar
ALDEA MARIA LUISA;8;aldeamarialuisa.entrerios@sinalic.gob.ar
CERVANTES;16;cervantes.rionegro@sinalic.gob.ar
FERNANDEZ ORO;16;fernandezoro.rionegro@sinalic.gob.ar
CAMPO GRANDE;16;campogrande.rionegro@sinalic.gob.ar
GENERAL ROCA;16;generalroca.rionegro@sinalic.gob.ar
IRUYA;17;iruya.salta@sinalic.gob.ar
HIPOLITO YRIGOYEN;17;hipolitoyrigoyen.salta@sinalic.gob.ar
Ataliva Roca;11;atalivaroca.lapampa@sinalic.gob.ar
Jacinto Arauz;11;jacintoarauz.lapampa@sinalic.gob.ar
Eduardo Castex;11;eduardocastex.lapampa@sinalic.gob.ar
GENERAL OCAMPO;12;GENERALOCAMPO.LARIOJA@SINALIC.GOB.AR
Juan Facundo Quiroga;12;juanfacundoquiroga.larioja@sinalic.gob.ar
Itaibate;7;Itaibate.corrientes@sinalic.gob.ar
Facundo;5;facundo.chubut@sinalic.gob.ar
La Clotilde;4;Laclotilde.chaco@sinalic.gob.ar
Presidencia de la Plaza;4;Presidenciadelaplaza.chaco@sinalic.gob.ar
Gobernador Gregores;20;gobernadorgregores.santacruz@sinalic.gob.ar
Loreto;22;loreto.santiagodelestero@sinalic.gob.ar
Fernandez;22;fernandez.santiagodelesetero@sinalic.gob.ar
PALMA SOLA;10;palmasola.jujuy@sinalic.gob.ar
Trenel;11;trenel.lapampa@sinalic.gob.ar
Santa María;3;santamaria.catamarca@sinalic.gob.ar
Santa Isabel;11;santaisabel.lapampa@sinalic.gob.ar
